,address,age,crown_diameter,district_id,downloaded_at,genus_latin,gml_id,identification_tag,ingested_at,location_number,owner,spatial_alias,spatial_name,spatial_type,species_german,species_latin,tree_height,trunk_circumference,year_of_planting
514,Görlitzer Park,19,4,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,QUERCUS,re_anlagenbaeume.F10__121604,50052,2016-08-15T19:30:47.290Z,756,Land Berlin,F10__121604,F10__121604,Point,SOMMER-EICHE - STIEL-EICHE,QUERCUS ROBUR,7,39,1997
515,Görlitzer Park,101,8,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,PRUNUS,re_anlagenbaeume.F10__121605,50052,2016-08-15T19:30:47.290Z,766,Land Berlin,F10__121605,F10__121605,Point,TRAUBEN-KIRSCHE,PRUNUS PADUS,12,245,1915
516,Görlitzer Park,29,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__121606,50052,2016-08-15T19:30:47.290Z,778,Land Berlin,F10__121606,F10__121606,Point,FELD-AHORN - HECKEN-AHORN - MASSHOLDER,ACER CAMPESTRE,12,61,1987
517,Görlitzer Park,35,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__121607,50052,2016-08-15T19:30:47.290Z,785,Land Berlin,F10__121607,F10__121607,Point,SPITZ-AHORN,ACER PLATANOIDES,12,81,1981
518,Görlitzer Park,27,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,FRAXINUS,re_anlagenbaeume.F10__121608,50052,2016-08-15T19:30:47.290Z,787,Land Berlin,F10__121608,F10__121608,Point,GEWÖHNLICHE ESCHE,FRAXINUS EXCELSIOR,7,58,1989
519,Görlitzer Park,67,10,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,BETULA,re_anlagenbaeume.F10__121609,50052,2016-08-15T19:30:47.290Z,795,Land Berlin,F10__121609,F10__121609,Point,"SANDBIRKE, WEISS-BIRKE",BETULA PENDULA,17,165,1949
520,Görlitzer Park,67,8,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__133596,50052,2016-08-15T19:30:47.290Z,592,Land Berlin,F10__133596,F10__133596,Point,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,12,175,1949
521,Görlitzer Park,80,7,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,TILIA,re_anlagenbaeume.F10__133597,50052,2016-08-15T19:30:47.290Z,594,Land Berlin,F10__133597,F10__133597,Point,HOLLÄNDISCHE LINDE,TILIA INTERMEDIA,12,188,1936
522,Görlitzer Park,26,6,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133598,50052,2016-08-15T19:30:47.290Z,603,Land Berlin,F10__133598,F10__133598,Point,SPITZ-AHORN,ACER PLATANOIDES,7,65,1990
523,Görlitzer Park,31,89,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133599,50052,2016-08-15T19:30:47.290Z,608,Land Berlin,F10__133599,F10__133599,Point,FELD-AHORN - HECKEN-AHORN - MASSHOLDER,ACER CAMPESTRE,7,89,1985
524,Görlitzer Park,27,5,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,ACER,re_anlagenbaeume.F10__133600,50052,2016-08-15T19:30:47.290Z,612,Land Berlin,F10__133600,F10__133600,Point,FELD-AHORN - HECKEN-AHORN - MASSHOLDER,ACER CAMPESTRE,12,65,1989
525,Görlitzer Park,24,3,Friedrichshain-Kreuzberg,2016-08-13T22:57:36Z,SORBUS,re_anlagenbaeume.F10__133601,50052,2016-08-15T19:30:47.290Z,613,Land Berlin,F10__133601,F10__133601,Point,OXELBEERE - SCHWEDISCHE MEHLBEERE,SORBUS INTERMEDIA,3,53,1992
