activity,category,entity,id,name
Astronomie,Naturwissenschaft / Technik,Astronomie,04A06,Peter-A.-Silbermann-Schule
Astrophysik,Naturwissenschaft / Technik,Astrophysik,04A06,Peter-A.-Silbermann-Schule
Literatur,Literatur / Medien,Literatur,04A06,Peter-A.-Silbermann-Schule
Bildende Kunst,Kunst / Kultur,Bildende Kunst,04A06,Peter-A.-Silbermann-Schule
Rudern,Sport,Rudern,04P11,Evangelisches Gymnasium zum Grauen Kloster
Badminton,Sport,Badminton,06G01,Nord-Grundschule
Chor,Musik / Tanz,Chor,06G01,Nord-Grundschule
Computer,Naturwissenschaft / Technik,Computer,06G01,Nord-Grundschule
Fitness für Kinder,Sport,Fitness,06G01,Nord-Grundschule
Elektronik,Naturwissenschaft / Technik,Elektronik,06G01,Nord-Grundschule
Judo,Sport,Judo,06G01,Nord-Grundschule
Leseratten,Literatur / Medien,Leseratten,06G01,Nord-Grundschule
Mediation,Gesellschaft / Partizipation,Mediation,06G01,Nord-Grundschule
Theater,Kunst / Kultur,Theater,06G01,Nord-Grundschule
Töpfern & Werken,Handwerk,Werken,06G01,Nord-Grundschule
Medienecken in den Klassen,nc,Medienecken,06G01,Nord-Grundschule
div. Sportangebote,Sport,Sportangebote,06G02,Süd-Grundschule
Zirkus,Kultur / Kunst,Zirkus,06G06,Mühlenau-Grundschule
Hockey,Sport,Hockey,06G06,Mühlenau-Grundschule
Fußball,Sport,Fußball,06G06,Mühlenau-Grundschule
Badminton,Sport,Badminton,06G06,Mühlenau-Grundschule
Judo,Sport,Judo,06G06,Mühlenau-Grundschule
Rugby,Sport,Rugby,06G06,Mühlenau-Grundschule
Tanzen,Musik / Tanz,Tanzen,06G06,Mühlenau-Grundschule
Chor,Musik / Tanz,Chor,06G06,Mühlenau-Grundschule
Töpfern usw.,Handwerk,Töpfern,06G06,Mühlenau-Grundschule
Garten,Umwelt,Garten,06G07,Zinnowwald-Grundschule
Schulchor,Musik / Tanz,Chor,06G07,Zinnowwald-Grundschule
Computer,Naturwissenschaft / Technik,Computer,06G07,Zinnowwald-Grundschule
Capoeira,Musik / Tanz,Capoeira,06G07,Zinnowwald-Grundschule
Theaterspiel und Kulissenbau,Kunst / Kultur,Theaterspiel und Kulissenbau,06G07,Zinnowwald-Grundschule
Farbtanz,Musik / Tanz,Farbtanz,06G07,Zinnowwald-Grundschule
Dance for Kids,Musik / Tanz,Dance for Kids,06G07,Zinnowwald-Grundschule
Schwimmen,Sport,Schwimmen,06G07,Zinnowwald-Grundschule
Hockey,Sport,Hockey,06G07,Zinnowwald-Grundschule
Fußball,Sport,Fußball,06G07,Zinnowwald-Grundschule
Basketball,Sport,Basketball,06G07,Zinnowwald-Grundschule
Judo,Sport,Judo,06G07,Zinnowwald-Grundschule
Tennis,Sport,Tennis,06G07,Zinnowwald-Grundschule
Vielfältige Arbeitsgemeinschaften (u.a. Chinesisch),nc,Vielfältige Arbeitsgemeinschaften,06G10,Grundschule am Buschgraben
Chor,Musik / Tanz,Chor,02P12,Kreativitätsschulzentrum Berlin gGmbH
Schach,Sport,Schach,02P12,Kreativitätsschulzentrum Berlin gGmbH
Badminton,Sport,Badminton,02P12,Kreativitätsschulzentrum Berlin gGmbH
Theater,Kunst / Kultur,Theater,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Mediation,Gesellschaft / Partizipation,Mediation,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Schulband,Musik / Tanz,Schulband,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Russisch,Sprachen,Russisch,06K09,Gail-S.-Halvorsen-Integrierte Sekundarschule
Basketball,Sport,Basketball,06Y01,Schadow-Gymnasium
Fußball,Sport,Fußball,06Y01,Schadow-Gymnasium
Geräteturnen,Sport,Geräteturnen,06Y01,Schadow-Gymnasium
Aerobic,Sport,Aerobic,06Y01,Schadow-Gymnasium
Rudern,Sport,Rudern,06Y01,Schadow-Gymnasium
Fotografie,Literatur / Medien,Fotografie,06Y01,Schadow-Gymnasium
Theater,Kunst / Kultur,Theater,06Y01,Schadow-Gymnasium
Griechisch,Sprachen,Griechisch,06Y01,Schadow-Gymnasium
Italienisch,Sprachen,Italienisch,06Y01,Schadow-Gymnasium
Russisch,Sprachen,Russisch,06Y01,Schadow-Gymnasium
Vorbereitung DELF-Diplom,Sprachen,DELF-Diplom,06Y01,Schadow-Gymnasium
Schulhof-AG,Gesellschaft / Partizipation,Schulhof-AG,06Y01,Schadow-Gymnasium
Mediation,Gesellschaft / Partizipation,Mediation,06Y01,Schadow-Gymnasium
Homepage,Naturwissenschaft / Technik,Homepage,06Y01,Schadow-Gymnasium
Jazzband,Musik / Tanz,Jazzband,06Y01,Schadow-Gymnasium
Chor,Musik / Tanz,Chor,06Y01,Schadow-Gymnasium
Orchester,Musik / Tanz,Orchester,06Y01,Schadow-Gymnasium
"""Die Diplomaten""",no category,no group,06Y01,Schadow-Gymnasium
Vorbereitung DELF-Diplom,Sprachen,DELF-Diplom,06Y02,Droste-Hülshoff-Gymnasium
Instrumentalunterricht,Musik / Tanz,Instrumentalunterricht,06Y02,Droste-Hülshoff-Gymnasium
Blechbläser,Musik / Tanz,Blechbläser,06Y02,Droste-Hülshoff-Gymnasium
Bläserensemble,Musik / Tanz,Bläserensemble,06Y02,Droste-Hülshoff-Gymnasium
Orchester,Musik / Tanz,Orchester,06Y02,Droste-Hülshoff-Gymnasium
Chor,Musik / Tanz,Chor,06Y02,Droste-Hülshoff-Gymnasium
Film-Musik,Musik / Tanz,Film-Musik,06Y02,Droste-Hülshoff-Gymnasium
Darstellendes Spiel,Gesellschaft / Partizipation,Darstellendes Spiel,06Y02,Droste-Hülshoff-Gymnasium
Politik-AG,Gesellschaft / Partizipation,Politik,06Y02,Droste-Hülshoff-Gymnasium
Basketball,Sport,Basketball,06Y02,Droste-Hülshoff-Gymnasium
Volleyball,Sport,Volleyball,06Y02,Droste-Hülshoff-Gymnasium
Rudern,Sport,Rudern,06Y02,Droste-Hülshoff-Gymnasium
Russisch für Anfänger und Fortgeschrittene,Sprachen,Russisch,06Y02,Droste-Hülshoff-Gymnasium
Foto-AG,Kunst / Kultur,Foto,06Y02,Droste-Hülshoff-Gymnasium
Klimaretter,Umwelt,Klima,06Y02,Droste-Hülshoff-Gymnasium
Töpfern / Werken,Handwerk,Werken,06Y02,Droste-Hülshoff-Gymnasium
Filmabende,Literatur / Medien,Filmabende,06Y02,Droste-Hülshoff-Gymnasium
Schule ohne Rassismus - Schule mit Courage,no category,no group,06Y02,Droste-Hülshoff-Gymnasium
Instrumentalunterricht in Kooperation mit der Musikschule Steglitz-Zehlendorf,Musik / Tanz,Instrumentalunterricht,06Y03,Arndt-Gymnasium Dahlem
Blas-,no category,no group,06Y03,Arndt-Gymnasium Dahlem
Saiten- und Schlaginstrumente mit Integration in die Orchesterarbeit,no category,no group,06Y03,Arndt-Gymnasium Dahlem
mehrere Orchester und Bigbands,Musik / Tanz,Orchester,06Y03,Arndt-Gymnasium Dahlem
Chöre,Musik / Tanz,Chor,06Y03,Arndt-Gymnasium Dahlem
Tanzen,Musik / Tanz,Tanzen,06Y03,Arndt-Gymnasium Dahlem
div. Sportgruppen (u.a. Rudern,Hockey),Sport,06Y03,Arndt-Gymnasium Dahlem
Rugby,Sport,Rugby,06Y03,Arndt-Gymnasium Dahlem
Tennis,Sport,Tennis,06Y03,Arndt-Gymnasium Dahlem
Hockey),no category,no group,06Y03,Arndt-Gymnasium Dahlem
Mediation,Gesellschaft / Partizipation,Mediation,06Y03,Arndt-Gymnasium Dahlem
Robotics,Naturwissenschaft / Technik,Robotics,06Y03,Arndt-Gymnasium Dahlem
Informatik,Naturwissenschaft / Technik,Informatik,06Y03,Arndt-Gymnasium Dahlem
Malerei,Kunst / Kultur,Malerei,06Y03,Arndt-Gymnasium Dahlem
Bühnentechnik,Naturwissenschaft / Technik,Bühnentechnik,06Y03,Arndt-Gymnasium Dahlem
Konfliktlotsentraining,Gesellschaft / Partizipation,Konfliktlotse,04S07,Comenius-Schule
Buchbinden,Literatur / Medien,Buchbinden,04S07,Comenius-Schule
Kochen,Handwerk,Kochen,04S07,Comenius-Schule
Kulturelle Ausflüge,Kunst / Kultur,Ausflüge,04S07,Comenius-Schule
Schülerzeitung,Literatur / Medien,Schülerzeitung,04S07,Comenius-Schule
Textiles Werken,Handwerk,Werken,04S07,Comenius-Schule
Tanzen,Musik / Tanz,Tanzen,04S07,Comenius-Schule
Theater,Kunst / Kultur,Theater,04S07,Comenius-Schule
Turnen,Sport,Turnen,04S07,Comenius-Schule
Zaubern,Kultur / Kunst,Zaubern,04S07,Comenius-Schule
Chor und Minichor,Musik / Tanz,Chor,04S07,Comenius-Schule
Musical (in Kooperation mit der Villa Comenius),Musik / Tanz,Musical,04S07,Comenius-Schule
Schach,Sport,Schach,04S07,Comenius-Schule
Malen im Atelier (in Kooperation mit der Villa Comenius),Kunst / Kultur,Malen,04S07,Comenius-Schule
Basketball,Sport,Basketball,04S07,Comenius-Schule
AG's und Wahlpflichtunterricht für die Jahrgänge 5 & 6: Konfliktlotsentraining,Gesellschaft / Partizipation,Konfliktlotse,04S07,Comenius-Schule
Buchbinden,Literatur / Medien,Buchbinden,04S07,Comenius-Schule
Kochen,Handwerk,Kochen,04S07,Comenius-Schule
Kulturelle Ausflüge,Kunst / Kultur,Ausflüge,04S07,Comenius-Schule
Schülerzeitung,Literatur / Medien,Schülerzeitung,04S07,Comenius-Schule
Textiles Werken,Handwerk,Werken,04S07,Comenius-Schule
Tanzen,Musik / Tanz,Tanzen,04S07,Comenius-Schule
Theater,Kunst / Kultur,Theater,04S07,Comenius-Schule
Turnen,Sport,Turnen,04S07,Comenius-Schule
Zaubern,Kultur / Kunst,Zaubern,04S07,Comenius-Schule
Chor und Minichor,Musik / Tanz,Chor,04S07,Comenius-Schule
Musical (in Kooperation mit der Villa Comenius),Musik / Tanz,Musical,04S07,Comenius-Schule
Schach,Sport,Schach,04S07,Comenius-Schule
Malen im Atelier (in Kooperation mit der Villa Comenius),Kunst / Kultur,Malen,04S07,Comenius-Schule
Basketball,Sport,Basketball,04S07,Comenius-Schule
Mathematik,Naturwissenschaft / Technik,Mathematik,06Y04,Dreilinden-Gymnasium
Basketball,Sport,Basketball,06Y04,Dreilinden-Gymnasium
Chor,Musik / Tanz,Chor,06Y04,Dreilinden-Gymnasium
Band,Musik / Tanz,Band,06Y04,Dreilinden-Gymnasium
Italienisch,Sprachen,Italienisch,06Y04,Dreilinden-Gymnasium
Japanisch,Sprachen,Japanisch,06Y04,Dreilinden-Gymnasium
englisches Theater,Kunst / Kultur,Theater,06Y04,Dreilinden-Gymnasium
Schulhof/Schulgarten,Umwelt,Schulgarten,06Y04,Dreilinden-Gymnasium
wissenschaftspropädeutisches Arbeiten,Naturwissenschaft / Technik,Wissenschaft,06Y04,Dreilinden-Gymnasium
Praktikumsvorbereitung,Berufsorientierung,Praktikumsvorbereitung,06Y04,Dreilinden-Gymnasium
Franco Musiques,nc,Wettbewerb?,06Y04,Dreilinden-Gymnasium
Kunst und Fremdsprachen,Kunst / Kultur,Kunst und Fremdsprachen,06Y04,Dreilinden-Gymnasium
Jugend forscht,Naturwissenschaft / Technik,Jugend forscht,06Y04,Dreilinden-Gymnasium
Chemie,Naturwissenschaft / Technik,Chemie,06Y04,Dreilinden-Gymnasium
BerMUN,no category,no group,06Y04,Dreilinden-Gymnasium
Cambridge Proficiency,Sprachen,Cambridge Proficiency,06Y04,Dreilinden-Gymnasium
Chöre,Musik / Tanz,Chor,06Y05,Werner-von-Siemens-Gymnasium
Orchester,Musik / Tanz,Orchester,06Y05,Werner-von-Siemens-Gymnasium
Darstellendes Spiel-Kl. 10,Kunst / Kultur,Darstellendes Spiel,06Y05,Werner-von-Siemens-Gymnasium
Chinesisch,Sprachen,Chinesisch,06Y05,Werner-von-Siemens-Gymnasium
Russisch,Sprachen,Russisch,06Y05,Werner-von-Siemens-Gymnasium
HTML,Naturwissenschaft / Technik,HTML,06Y05,Werner-von-Siemens-Gymnasium
Chemie-Kids (Klassen 5 bis 8),Naturwissenschaft / Technik,Chemie-Kids,06Y05,Werner-von-Siemens-Gymnasium
Mediation,Gesellschaft / Partizipation,Mediation,06Y05,Werner-von-Siemens-Gymnasium
Rudern,Sport,Rudern,06Y05,Werner-von-Siemens-Gymnasium
Fußball,Sport,Fußball,06Y05,Werner-von-Siemens-Gymnasium
Mini-Marathon,Sport,Mini-Marathon,06Y05,Werner-von-Siemens-Gymnasium
Streicher-Anfänger,Musik / Tanz,Streichinstrumente,06Y05,Werner-von-Siemens-Gymnasium
Geräteturnen,Sport,Geräteturnen,06Y05,Werner-von-Siemens-Gymnasium
Schülerzeitung,Literatur / Medien,Schülerzeitung,06Y05,Werner-von-Siemens-Gymnasium
Darstellendes Spiel,Gesellschaft / Partizipation,Darstellendes Spiel,06K01,John-F.-Kennedy-Schule
English Literature,Literatur / Medien,English Literature,06K01,John-F.-Kennedy-Schule
Französisch-Spanische Schülerzeitung,Literatur / Medien,Schülerzeitung,06K01,John-F.-Kennedy-Schule
Jahrbuch,Literatur / Medien,Jahrbuch,06K01,John-F.-Kennedy-Schule
Mathematik,Naturwissenschaft / Technik,Mathematik,06K01,John-F.-Kennedy-Schule
Schach,Sport,Schach,06K01,John-F.-Kennedy-Schule
verschiedene Chöre,Musik / Tanz,Chor,06K01,John-F.-Kennedy-Schule
Gesangsunterricht,Musik / Tanz,Gesang,06K01,John-F.-Kennedy-Schule
Orchester,Musik / Tanz,Orchester,06K01,John-F.-Kennedy-Schule
Philosophie,Gesellschaft / Partizipation,Philosophie,06K01,John-F.-Kennedy-Schule
"""National Honor Society""",no category,no group,06K01,John-F.-Kennedy-Schule
Badminton,Sport,Badminton,06K01,John-F.-Kennedy-Schule
Basketball,Sport,Basketball,06K01,John-F.-Kennedy-Schule
Leichtathletik,Sport,Leichtathletik,06K01,John-F.-Kennedy-Schule
Lacrosse,Sport,Lacrosse,06K01,John-F.-Kennedy-Schule
Volleyball,Sport,Volleyball,06K01,John-F.-Kennedy-Schule
Rudern u.a.,Sport,Rudern,06K01,John-F.-Kennedy-Schule
Schülerzeitung,Literatur / Medien,Schülerzeitung,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Homepage,Naturwissenschaft / Technik,Homepage,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Kreatives Gestalten,Kunst / Kultur,Kreatives Gestalten,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Mediation,Gesellschaft / Partizipation,Mediation,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Japan-AG,Sprachen,japanisch,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Schule ohne Rassismus,nc,Schule ohne Rassismus - Schule mit Courage,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Schulradio,Literatur / Medien,Schulradio,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Veranstaltungstechnik,Naturwissenschaft / Technik,Veranstaltungstechnik,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Rugby,Sport,Rugby,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Artistik und Jonglage,Sport,Artistik,06K02,Wilma-Rudolph-Schule (Integrierte Sekundarschule)
Sport in Kooperation mit dem Olympischen Sport-Club Berlin e.V.  (Jahrgänge 1 - 6),no category,no group,06S01,Pestalozzi-Schule
Akrobatik (Jahrgänge 1 - 6),Sport,Akrobatik,06S01,Pestalozzi-Schule
Brötchen backen (Jahrgänge 5 - 7),Handwerk,Brötchen backen,06S01,Pestalozzi-Schule
Garten-AG (Jahrgänge 5 + 6),Umwelt,Garten,06S01,Pestalozzi-Schule
Holzwerkstatt (Jahrgänge 5 + 6),Handwerk,Holzwerkstatt,06S01,Pestalozzi-Schule
Theater (Jahrgänge 5 + 6),Kunst / Kultur,Theater,06S01,Pestalozzi-Schule
Instrumentenfindung (Jahrgänge 1 + 2),Musik / Tanz,Instrumentenfindung,06S01,Pestalozzi-Schule
Hausaufgaben (Jahrgänge 5 - 10),nc,Hausaufgaben,06S01,Pestalozzi-Schule
Sport in Kooperation mit dem Olympischen Sport-Club Berlin e.V.  (Jahrgänge 1 - 6),no category,no group,06S01,Pestalozzi-Schule
Akrobatik (Jahrgänge 1 - 6),Sport,Akrobatik,06S01,Pestalozzi-Schule
Brötchen backen (Jahrgänge 5 - 7),Handwerk,Brötchen backen,06S01,Pestalozzi-Schule
Garten-AG (Jahrgänge 5 + 6),Umwelt,Garten,06S01,Pestalozzi-Schule
Holzwerkstatt (Jahrgänge 5 + 6),Handwerk,Holzwerkstatt,06S01,Pestalozzi-Schule
Theater (Jahrgänge 5 + 6),Kunst / Kultur,Theater,06S01,Pestalozzi-Schule
Instrumentenfindung (Jahrgänge 1 + 2),Musik / Tanz,Instrumentenfindung,06S01,Pestalozzi-Schule
Hausaufgaben (Jahrgänge 5 - 10),nc,Hausaufgaben,06S01,Pestalozzi-Schule
Mathematik nach Jahrgängen,Naturwissenschaft / Technik,Mathematik,02Y03,Heinrich-Hertz-Oberschule
Metrische Räume u. Anwendungen,Naturwissenschaft / Technik,Metrische Räume und Anwendungen,02Y03,Heinrich-Hertz-Oberschule
Physik u. Jugend forscht,Naturwissenschaft / Technik,Physik und Jugend forscht,02Y03,Heinrich-Hertz-Oberschule
Training für die Physikolympiade,Naturwissenschaft / Technik,Training für die Physikolympiade,02Y03,Heinrich-Hertz-Oberschule
Naturwissenschaft,Naturwissenschaft / Technik,Naturwissenschaft,02Y03,Heinrich-Hertz-Oberschule
Physik u. Computer,Naturwissenschaft / Technik,Physik und Computer,02Y03,Heinrich-Hertz-Oberschule
Physik Fachhelfer,Naturwissenschaft / Technik,Physik Fachhelfer,02Y03,Heinrich-Hertz-Oberschule
Chemie,Naturwissenschaft / Technik,Chemie,02Y03,Heinrich-Hertz-Oberschule
Tierpflege,Umwelt,Tierpflege,02Y03,Heinrich-Hertz-Oberschule
Schulteich,Umwelt,Schulteich,02Y03,Heinrich-Hertz-Oberschule
Schlaue Algorithmen für knifflige Probleme,Naturwissenschaft / Technik,Schlaue Algorithmen für knifflige Probleme,02Y03,Heinrich-Hertz-Oberschule
Server- u. Webprogrammierung,Naturwissenschaft / Technik,Server- und Webprogrammierung,02Y03,Heinrich-Hertz-Oberschule
Robotik,Naturwissenschaft / Technik,Robotik,02Y03,Heinrich-Hertz-Oberschule
Theater,Kunst / Kultur,Theater,02Y03,Heinrich-Hertz-Oberschule
"""Schule ohne Rassismus""",no category,no group,02Y03,Heinrich-Hertz-Oberschule
Philosophie,Gesellschaft / Partizipation,Philosophie,02Y03,Heinrich-Hertz-Oberschule
Männerchor,Musik / Tanz,Chor,02Y03,Heinrich-Hertz-Oberschule
Chor,Musik / Tanz,Chor,02Y03,Heinrich-Hertz-Oberschule
Keramik,Handwerk,Keramik,02Y03,Heinrich-Hertz-Oberschule
Volleyball,Sport,Volleyball,02Y03,Heinrich-Hertz-Oberschule
Fitness,Sport,Fitness,02Y03,Heinrich-Hertz-Oberschule
Schach,Sport,Schach,02Y03,Heinrich-Hertz-Oberschule
"Schülerzeitung ""Hertzschlag""",Literatur / Medien,Schülerzeitung,02Y03,Heinrich-Hertz-Oberschule
Pflanzenkundekurs,Umwelt,Pflanzenkunde,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Blumenbindekurs,Handwerk,Blumenbinden,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Fußball,Sport,Fußball,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Honig-AG,Umwelt,Honig,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Pflanzenkundekurs,Umwelt,Pflanzenkunde,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Blumenbindekurs,Handwerk,Blumenbinden,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Fußball,Sport,Fußball,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Honig-AG,Umwelt,Honig,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Pflanzenkundekurs,Umwelt,Pflanzenkunde,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Blumenbindekurs,Handwerk,Blumenbinden,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Fußball,Sport,Fußball,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Honig-AG,Umwelt,Honig,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Pflanzenkundekurs,Umwelt,Pflanzenkunde,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Blumenbindekurs,Handwerk,Blumenbinden,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Fußball,Sport,Fußball,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Honig-AG,Umwelt,Honig,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Pflanzenkundekurs,Umwelt,Pflanzenkunde,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
AG Blumenbindekurs,Handwerk,Blumenbinden,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Fußball,Sport,Fußball,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Honig-AG,Umwelt,Honig,06B01,Peter-Lenné-Schule (OSZ Natur und Umwelt)
Kinderorchester,Musik / Tanz,Orchester,06P04,Rudolf-Steiner-Schule Berlin
Mittelstufenorchester,Musik / Tanz,Orchester,06P04,Rudolf-Steiner-Schule Berlin
Oberstufenorchester,Musik / Tanz,Orchester,06P04,Rudolf-Steiner-Schule Berlin
Chor,Musik / Tanz,Chor,06P06,Königin-Luise-Stiftung
Gitarre,Musik / Tanz,Gitarre,06P06,Königin-Luise-Stiftung
Streicher,Musik / Tanz,Streicher,06P06,Königin-Luise-Stiftung
Musical,Musik / Tanz,Musical,06P06,Königin-Luise-Stiftung
Flöten,Musik / Tanz,Flöten,06P06,Königin-Luise-Stiftung
Lesen,Literatur / Medien,Lesen,06P06,Königin-Luise-Stiftung
Tanzen,Musik / Tanz,Tanzen,06P06,Königin-Luise-Stiftung
UNESCO-Gruppe,Gesellschaft / Partizipation,UNESCO,06P06,Königin-Luise-Stiftung
Schach,Sport,Schach,06P06,Königin-Luise-Stiftung
Orientalischer Tanz / Bauchtanz,Musik / Tanz,Bauchtanz,06P06,Königin-Luise-Stiftung
Chemie,Naturwissenschaft / Technik,Chemie,06P06,Königin-Luise-Stiftung
Ersthelfer,Gesellschaft / Partizipation,Ersthelfer,06P06,Königin-Luise-Stiftung
Mode,Handwerk,Mode,06P06,Königin-Luise-Stiftung
Website,Naturwissenschaft / Technik,Website,06P06,Königin-Luise-Stiftung
Schulgarten,Umwelt,Schulgarten,06P06,Königin-Luise-Stiftung
Cafeteria,Gesellschaft / Partizipation,Cafeteria,06P06,Königin-Luise-Stiftung
Yoga,Sport,Yoga,06P06,Königin-Luise-Stiftung
Rudern,Sport,Rudern,06P06,Königin-Luise-Stiftung
Fußball,Sport,Fußball,06P06,Königin-Luise-Stiftung
Turnen,Sport,Turnen,06P06,Königin-Luise-Stiftung
Golf,Sport,Golf,06P06,Königin-Luise-Stiftung
Chor,Musik / Tanz,Chor,06P06,Königin-Luise-Stiftung
Gitarre,Musik / Tanz,Gitarre,06P06,Königin-Luise-Stiftung
Streicher,Musik / Tanz,Streicher,06P06,Königin-Luise-Stiftung
Musical,Musik / Tanz,Musical,06P06,Königin-Luise-Stiftung
Flöten,Musik / Tanz,Flöten,06P06,Königin-Luise-Stiftung
Lesen,Literatur / Medien,Lesen,06P06,Königin-Luise-Stiftung
Tanzen,Musik / Tanz,Tanzen,06P06,Königin-Luise-Stiftung
UNESCO-Gruppe,Gesellschaft / Partizipation,UNESCO,06P06,Königin-Luise-Stiftung
Schach,Sport,Schach,06P06,Königin-Luise-Stiftung
Orientalischer Tanz / Bauchtanz,Musik / Tanz,Bauchtanz,06P06,Königin-Luise-Stiftung
Chemie,Naturwissenschaft / Technik,Chemie,06P06,Königin-Luise-Stiftung
Ersthelfer,Gesellschaft / Partizipation,Ersthelfer,06P06,Königin-Luise-Stiftung
Mode,Handwerk,Mode,06P06,Königin-Luise-Stiftung
Website,Naturwissenschaft / Technik,Website,06P06,Königin-Luise-Stiftung
Schulgarten,Umwelt,Schulgarten,06P06,Königin-Luise-Stiftung
Cafeteria,Gesellschaft / Partizipation,Cafeteria,06P06,Königin-Luise-Stiftung
Yoga,Sport,Yoga,06P06,Königin-Luise-Stiftung
Rudern,Sport,Rudern,06P06,Königin-Luise-Stiftung
Fußball,Sport,Fußball,06P06,Königin-Luise-Stiftung
Turnen,Sport,Turnen,06P06,Königin-Luise-Stiftung
Golf,Sport,Golf,06P06,Königin-Luise-Stiftung
Chor,Musik / Tanz,Chor,06P06,Königin-Luise-Stiftung
Gitarre,Musik / Tanz,Gitarre,06P06,Königin-Luise-Stiftung
Streicher,Musik / Tanz,Streicher,06P06,Königin-Luise-Stiftung
Musical,Musik / Tanz,Musical,06P06,Königin-Luise-Stiftung
Flöten,Musik / Tanz,Flöten,06P06,Königin-Luise-Stiftung
Lesen,Literatur / Medien,Lesen,06P06,Königin-Luise-Stiftung
Tanzen,Musik / Tanz,Tanzen,06P06,Königin-Luise-Stiftung
UNESCO-Gruppe,Gesellschaft / Partizipation,UNESCO,06P06,Königin-Luise-Stiftung
Schach,Sport,Schach,06P06,Königin-Luise-Stiftung
Orientalischer Tanz / Bauchtanz,Musik / Tanz,Bauchtanz,06P06,Königin-Luise-Stiftung
Chemie,Naturwissenschaft / Technik,Chemie,06P06,Königin-Luise-Stiftung
Ersthelfer,Gesellschaft / Partizipation,Ersthelfer,06P06,Königin-Luise-Stiftung
Mode,Handwerk,Mode,06P06,Königin-Luise-Stiftung
Website,Naturwissenschaft / Technik,Website,06P06,Königin-Luise-Stiftung
Schulgarten,Umwelt,Schulgarten,06P06,Königin-Luise-Stiftung
Cafeteria,Gesellschaft / Partizipation,Cafeteria,06P06,Königin-Luise-Stiftung
Yoga,Sport,Yoga,06P06,Königin-Luise-Stiftung
Rudern,Sport,Rudern,06P06,Königin-Luise-Stiftung
Fußball,Sport,Fußball,06P06,Königin-Luise-Stiftung
Turnen,Sport,Turnen,06P06,Königin-Luise-Stiftung
Golf,Sport,Golf,06P06,Königin-Luise-Stiftung
Arts & Crafts (Basteln),Handwerk,Arts & Crafts,01P22,Berlin Cosmopolitan School
Ballett,Sport,Ballett,01P22,Berlin Cosmopolitan School
Basketball,Sport,Basketball,01P22,Berlin Cosmopolitan School
Schach,Sport,Schach,01P22,Berlin Cosmopolitan School
Kochen,Handwerk,Kochen,01P22,Berlin Cosmopolitan School
Digitale Animation,Kunst / Kultur,Digitale Animation,01P22,Berlin Cosmopolitan School
Digitale Fotografie,Kunst / Kultur,Digitale Fotografie,01P22,Berlin Cosmopolitan School
Drama (Theater),Kunst / Kultur,Theater,01P22,Berlin Cosmopolitan School
Chinesisch,Sprachen,Chinesisch,01P22,Berlin Cosmopolitan School
Chor,Musik / Tanz,Chor,01P22,Berlin Cosmopolitan School
Gitarrenunterricht,Musik / Tanz,Gitarrenunterricht,01P22,Berlin Cosmopolitan School
Orchester,Musik / Tanz,Orchester,01P22,Berlin Cosmopolitan School
Elektronische Musik,Musik / Tanz,Elektronische Musik,01P22,Berlin Cosmopolitan School
Mode,Handwerk,Mode,01P22,Berlin Cosmopolitan School
Französisch,Sprachen,Französisch,01P22,Berlin Cosmopolitan School
Fußball,Sport,Fußball,01P22,Berlin Cosmopolitan School
Lego City,Naturwissenschaft / Technik,Lego City,01P22,Berlin Cosmopolitan School
